,run,average_10,gen
517,517,5.715999999999999,mal
518,518,5.478,mal
519,519,4.963,mal
520,520,5.532,mal
521,521,6.137,mal
522,522,4.66,mal
523,523,4.928,mal
524,524,5.798000000000001,mal
525,525,4.645999999999999,mal
526,526,6.148000000000001,mal
527,527,5.674000000000001,mal
528,528,5.1579999999999995,mal
529,529,5.764000000000001,mal
530,530,5.822,mal
531,531,5.981,mal
532,532,4.965999999999999,mal
533,533,5.434,mal
534,534,6.102,mal
535,535,5.813000000000001,mal
536,536,6.454000000000001,mal
537,537,6.206999999999999,mal
538,538,6.15,mal
539,539,5.426,mal
540,540,5.545,mal
541,541,5.784000000000001,mal
542,542,6.345,mal
543,543,6.293000000000001,mal
544,544,5.015,mal
545,545,5.371,mal
546,546,5.759,mal
547,547,5.417,mal
548,548,5.869,mal
549,549,6.348000000000001,mal
550,550,6.098,mal
551,551,5.965,mal
552,552,5.537999999999999,mal
553,553,6.542999999999999,mal
554,554,6.059,mal
555,555,5.138999999999999,mal
556,556,5.334,mal
557,557,6.802000000000001,mal
558,558,4.904,mal
559,559,6.612,mal
560,560,5.725,mal
561,561,5.478,mal
562,562,6.106,mal
563,563,5.4350000000000005,mal
564,564,5.28,mal
565,565,5.83,mal
566,566,5.667,mal
567,567,5.532000000000001,mal
568,568,5.385,mal
569,569,6.332000000000001,mal
570,570,5.640000000000001,mal
571,571,5.732,mal
572,572,4.836,mal
573,573,6.372000000000001,mal
574,574,6.476999999999999,mal
575,575,5.5280000000000005,mal
576,576,5.818999999999999,mal
577,577,5.702,mal
578,578,5.398,mal
579,579,4.889,mal
580,580,5.583,mal
581,581,4.359,mal
582,582,5.855999999999999,mal
583,583,6.483,mal
584,584,5.7379999999999995,mal
585,585,4.938000000000001,mal
586,586,5.856999999999999,mal
587,587,5.584,mal
588,588,5.415,mal
589,589,4.792,mal
590,590,6.078000000000001,mal
591,591,5.52,mal
592,592,4.359,mal
593,593,5.479000000000001,mal
594,594,4.008,mal
595,595,5.223000000000001,mal
596,596,6.159999999999999,mal
597,597,5.447,mal
598,598,5.45,mal
599,599,6.231000000000001,mal
600,600,5.804,mal
601,601,5.397,mal
602,602,5.709,mal
603,603,6.24,mal
604,604,5.3,mal
605,605,5.764,mal
606,606,6.27,mal
607,607,6.412999999999999,mal
608,608,5.055000000000001,mal
609,609,6.103999999999999,mal
610,610,6.309,mal
611,611,5.896000000000001,mal
612,612,5.159,mal
613,613,6.272,mal
614,614,6.348,mal
615,615,5.402,mal
616,616,4.484,mal
617,617,6.087,mal
618,618,5.4430000000000005,mal
619,619,5.528,mal
620,620,6.396000000000001,mal
621,621,5.291,mal
622,622,5.555,mal
623,623,6.517,mal
624,624,5.631,mal
625,625,5.522,mal
626,626,5.7170000000000005,mal
627,627,4.3149999999999995,mal
628,628,5.717999999999999,mal
629,629,6.239999999999999,mal
630,630,7.014,mal
631,631,6.057,mal
632,632,4.861,mal
633,633,6.815,mal
634,634,5.298,mal
635,635,5.904999999999999,mal
636,636,5.8469999999999995,mal
637,637,6.116000000000001,mal
638,638,5.624999999999999,mal
639,639,5.707,mal
640,640,5.239000000000001,mal
641,641,6.026,mal
642,642,5.693,mal
643,643,5.172,mal
644,644,5.457,mal
645,645,5.7170000000000005,mal
646,646,5.916000000000001,mal
647,647,5.493,mal
648,648,4.823,mal
649,649,4.7620000000000005,mal
650,650,5.845000000000001,mal
651,651,5.481,mal
652,652,6.335,mal
653,653,5.2299999999999995,mal
654,654,5.397,mal
655,655,6.419,mal
656,656,6.172,mal
657,657,5.263,mal
658,658,5.243,mal
659,659,6.596999999999999,mal
660,660,6.372999999999999,mal
661,661,5.726,mal
662,662,6.575999999999999,mal
663,663,5.712,mal
664,664,5.229,mal
665,665,5.3340000000000005,mal
666,666,5.606,mal
667,667,4.926,mal
668,668,4.562,mal
669,669,5.569999999999999,mal
670,670,4.638,mal
671,671,6.26,mal
672,672,5.927,mal
673,673,5.524,mal
674,674,5.910000000000001,mal
675,675,4.461,mal
676,676,4.747,mal
677,677,4.728,mal
678,678,5.2090000000000005,mal
679,679,5.982000000000001,mal
680,680,5.7700000000000005,mal
681,681,5.727,mal
682,682,5.146,mal
683,683,5.558,mal
684,684,5.738999999999999,mal
685,685,5.235,mal
686,686,5.1419999999999995,mal
687,687,5.784000000000001,mal
688,688,5.833,mal
689,689,5.8,mal
690,690,5.352000000000001,mal
691,691,5.811000000000001,mal
692,692,5.194,mal
693,693,6.003,mal
694,694,6.216,mal
695,695,6.26,mal
696,696,5.6850000000000005,mal
697,697,5.5649999999999995,mal
698,698,5.672000000000001,mal
699,699,4.461,mal
700,700,5.215,mal
701,701,5.773000000000001,mal
702,702,5.315,mal
703,703,5.792000000000001,mal
704,704,5.752000000000001,mal
705,705,6.631,mal
706,706,5.762,mal
707,707,5.475,mal
708,708,6.048,mal
709,709,5.5889999999999995,mal
710,710,5.0760000000000005,mal
711,711,6.081,mal
712,712,5.026999999999999,mal
713,713,5.267,mal
714,714,5.42,mal
715,715,6.691,mal
716,716,5.9030000000000005,mal
717,717,5.7860000000000005,mal
718,718,4.9670000000000005,mal
719,719,5.878,mal
720,720,5.17,mal
721,721,5.593999999999999,mal
722,722,5.902,mal
723,723,5.3389999999999995,mal
724,724,5.446,mal
725,725,5.144,mal
726,726,5.859999999999999,mal
727,727,5.0969999999999995,mal
728,728,5.261,mal
729,729,4.3420000000000005,mal
730,730,4.984,mal
731,731,4.598,mal
732,732,4.9190000000000005,mal
