,run,average_10,gen
202,202,6.687,fem
203,203,6.836,fem
204,204,6.683,fem
205,205,6.8549999999999995,fem
206,206,6.655000000000001,fem
207,207,6.945,fem
208,208,7.008,fem
209,209,6.678,fem
210,210,6.640000000000001,fem
211,211,6.494,fem
212,212,6.85,fem
213,213,6.514,fem
214,214,7.015000000000001,fem
215,215,6.825999999999999,fem
216,216,6.848000000000001,fem
217,217,6.82,fem
218,218,6.5840000000000005,fem
219,219,6.595000000000001,fem
220,220,6.610000000000001,fem
221,221,6.933,fem
222,222,6.6129999999999995,fem
223,223,6.431,fem
224,224,6.484,fem
225,225,6.872,fem
226,226,6.481999999999999,fem
227,227,6.7299999999999995,fem
228,228,6.712999999999999,fem
229,229,7.018000000000001,fem
230,230,6.9159999999999995,fem
231,231,6.641,fem
232,232,5.917,fem
233,233,6.909999999999999,fem
234,234,6.839,fem
235,235,6.705,fem
236,236,6.638,fem
237,237,6.955,fem
238,238,6.806,fem
239,239,6.724000000000001,fem
240,240,6.745,fem
241,241,6.724000000000001,fem
242,242,6.764999999999999,fem
243,243,6.543000000000001,fem
244,244,6.166000000000001,fem
245,245,6.271,fem
246,246,6.458,fem
247,247,6.466999999999999,fem
248,248,6.4940000000000015,fem
249,249,6.782000000000001,fem
250,250,6.968999999999999,fem
251,251,6.8180000000000005,fem
252,252,6.540000000000001,fem
253,253,6.718999999999999,fem
254,254,6.525999999999999,fem
255,255,6.499,fem
256,256,7.028999999999999,fem
257,257,6.513,fem
258,258,6.848999999999999,fem
259,259,6.364,fem
260,260,6.7700000000000005,fem
261,261,6.567,fem
262,262,6.664,fem
263,263,6.525,fem
264,264,6.598000000000001,fem
265,265,6.728,fem
266,266,6.7490000000000006,fem
267,267,6.585000000000001,fem
268,268,6.447,fem
269,269,6.57,fem
270,270,6.8149999999999995,fem
271,271,6.797,fem
272,272,6.598999999999999,fem
273,273,6.609999999999999,fem
274,274,6.406999999999999,fem
275,275,6.611,fem
276,276,6.85,fem
277,277,6.563,fem
278,278,6.406999999999999,fem
279,279,6.590999999999999,fem
280,280,6.595000000000001,fem
281,281,6.797,fem
282,282,6.6659999999999995,fem
283,283,6.658999999999999,fem
284,284,6.715000000000001,fem
285,285,6.623,fem
286,286,7.116,fem
287,287,6.682,fem
288,288,6.843000000000001,fem
289,289,6.37,fem
290,290,6.985000000000001,fem
291,291,6.221,fem
292,292,6.814,fem
293,293,6.555,fem
294,294,6.891999999999999,fem
295,295,6.641,fem
296,296,6.571000000000001,fem
297,297,6.369999999999999,fem
298,298,6.765000000000001,fem
299,299,6.6,fem
300,300,6.549000000000001,fem
301,301,6.531000000000001,fem
302,302,6.673,fem
303,303,6.375,fem
304,304,6.781000000000001,fem
305,305,6.784000000000001,fem
306,306,6.276,fem
307,307,6.718999999999999,fem
308,308,6.789,fem
309,309,6.844000000000001,fem
310,310,6.813,fem
311,311,6.623,fem
312,312,6.875,fem
313,313,6.868,fem
314,314,6.5840000000000005,fem
315,315,6.726000000000001,fem
316,316,6.892,fem
317,317,6.382,fem
318,318,6.881,fem
319,319,6.867,fem
320,320,6.603,fem
321,321,6.260000000000001,fem
322,322,6.321000000000001,fem
323,323,6.7620000000000005,fem
324,324,6.675999999999999,fem
325,325,6.631,fem
326,326,6.753,fem
327,327,6.411000000000001,fem
328,328,6.921000000000001,fem
329,329,6.609999999999999,fem
330,330,6.848000000000001,fem
331,331,6.505000000000001,fem
332,332,6.214,fem
333,333,6.660000000000001,fem
334,334,6.431,fem
335,335,6.991,fem
336,336,6.635,fem
337,337,6.237,fem
338,338,6.481999999999999,fem
339,339,6.362,fem
340,340,6.812,fem
341,341,6.282,fem
342,342,6.489,fem
